age,income,loan_amount,savings_balance,missed_payments,loan_duration,debt_to_income,savings_ratio,default
56,2784,2708,2723,3,17,0.9723518850987433,1.0051679586563307,1
46,267,2071,3010,3,23,7.727611940298507,1.4527027027027026,1
32,1796,2405,2911,4,11,1.3383416805787423,1.209891936824605,1
60,4678,1603,1225,1,5,0.3425945714896345,0.763715710723192,0
25,218,2904,167,0,15,13.26027397260274,0.05748709122203098,1
38,2930,222,3685,3,15,0.07574206755373593,16.524663677130047,1
56,3721,2489,85,0,11,0.668726491133799,0.03413654618473896,1
36,772,1968,1677,5,20,2.5459249676584736,0.8517013712544439,1
40,2458,1771,1982,5,7,0.7202114680764539,1.118510158013544,1
28,3102,1182,4944,5,13,0.3809216886883661,4.1792054099746405,1
28,850,1828,1486,2,4,2.1480611045828435,0.8124658283214872,1
41,2787,2407,441,3,19,0.8633428981348638,0.18313953488372092,1
53,3462,2096,270,5,22,0.6052555587640774,0.12875536480686695,1
57,1538,2242,343,2,23,1.4567901234567902,0.15292019616584931,1
41,3834,1248,1206,5,6,0.3254237288135593,0.9655724579663731,1
20,3027,2188,3081,1,20,0.7225891677675033,1.4074920054819553,1
39,2417,2014,1257,3,22,0.8329197684036393,0.6238213399503723,1
19,3739,353,2291,2,10,0.09438502673796792,6.471751412429379,0
41,1237,106,1532,5,21,0.08562197092084006,14.317757009345794,1
61,4583,2875,3422,2,14,0.6271815008726004,1.189847009735744,1
47,4178,2216,4362,5,13,0.5302703996171333,1.9675236806495264,1
55,3161,641,1653,1,18,0.20271979759645795,2.574766355140187,0
19,3426,188,4988,0,7,0.05485847680186752,26.391534391534393,0
38,1298,2038,238,5,5,1.5688991531947651,0.11672388425698872,1
50,2524,312,914,0,14,0.12356435643564356,2.9201277955271565,0
29,1139,2981,1438,3,17,2.614912280701754,0.48222669349429914,1
39,3916,365,3016,1,18,0.09318355884605566,8.240437158469945,0
61,3614,2440,1460,3,15,0.6749654218533887,0.5981155264235969,1
42,1648,1330,3079,0,9,0.8065494238932687,2.313298271975958,1
44,770,2480,2258,1,17,3.216601815823606,0.9101168883514712,1
59,3104,1104,366,4,5,0.35555555555555557,0.33122171945701356,1
45,2705,2194,2991,1,14,0.8107908351810791,1.3626423690205012,1
33,1117,721,3741,1,10,0.644901610017889,5.1814404432132966,1
32,2074,526,85,4,14,0.25349397590361444,0.16129032258064516,1
64,1878,309,2493,2,20,0.16444917509313464,8.041935483870967,0
61,815,987,4715,2,5,1.2095588235294117,4.772267206477733,1
20,4701,1543,131,2,14,0.32815823054019566,0.08484455958549222,1
54,1949,253,903,0,23,0.12974358974358974,3.5551181102362204,0
24,4025,514,3456,1,4,0.12767014406358668,6.710679611650486,0
38,4388,1280,1221,5,16,0.2916381863750285,0.9531615925058547,1
26,2677,1384,1763,4,16,0.5168035847647499,1.2729241877256319,1
56,4949,868,2804,5,6,0.17535353535353534,3.226697353279632,1
35,3705,1082,1226,0,19,0.291958985429034,1.1320406278855033,0
21,3675,1611,1284,4,17,0.4382480957562568,0.7965260545905707,1
42,4729,678,689,5,18,0.14334038054968287,1.0147275405007363,1
31,1335,2887,4782,0,7,2.160928143712575,1.6558171745152355,1
26,4200,2310,4881,0,19,0.5498690787907641,2.112072695802683,0
43,574,1138,4435,0,9,1.9791304347826086,3.893766461808604,1
19,406,2342,4507,4,17,5.754299754299755,1.9236022193768674,1
37,1519,641,1996,5,19,0.4217105263157895,3.1090342679127727,1
45,1341,458,4381,5,14,0.3412816691505216,9.544662309368192,1
64,4827,949,1109,3,13,0.19656172328086163,1.1673684210526316,1
24,2890,526,4945,0,21,0.18194396402628848,9.383301707779886,0
61,3455,2644,429,2,13,0.7650462962962963,0.1621928166351607,1
25,289,2975,4126,1,4,10.258620689655173,1.3864247311827957,1
64,4308,585,3781,3,17,0.13576235785565097,6.452218430034129,1
52,3220,1931,602,3,7,0.5995032598571872,0.3115942028985507,1
31,2057,1572,439,4,20,0.7638483965014577,0.27908455181182457,1
34,1004,1536,984,3,23,1.528358208955224,0.6402081977878985,1
53,1144,429,1918,5,23,0.3746724890829694,4.46046511627907,1
57,2989,1855,4507,4,18,0.6204013377926422,2.4283405172413794,1
21,4075,1270,527,4,6,0.3115799803729146,0.4146341463414634,1
19,1810,358,4405,2,12,0.19768083931529543,12.270194986072424,0
23,3123,2439,2996,0,4,0.780729833546735,1.2278688524590164,1
59,4082,242,3467,3,17,0.059270144501591966,14.267489711934155,1
21,3421,2116,1361,0,6,0.6183518410286383,0.6428908833254605,1
46,4591,2894,703,0,18,0.6302264808362369,0.24283246977547496,1
35,4935,726,662,0,9,0.14708265802269044,0.9105914718019257,0
43,2587,1488,364,4,14,0.5749613601236476,0.24445936870382806,1
61,4923,189,922,0,5,0.038383428107229896,4.852631578947369,0
51,1141,819,3856,3,19,0.7171628721541156,4.702439024390244,1
27,2766,580,175,4,11,0.20961329960245753,0.30120481927710846,1
53,1175,2231,935,3,10,1.897108843537415,0.4189068100358423,1
31,1154,1200,381,4,8,1.0389610389610389,0.3172356369691923,1
48,1462,772,305,1,17,0.5276828434723172,0.3945666235446313,0
32,1143,616,4697,1,12,0.5384615384615384,7.612641815235008,0
25,2402,2632,2390,1,8,1.095297544735747,0.9077098366881884,1
31,3527,1713,2203,1,17,0.48554421768707484,1.2852975495915986,0
40,4474,881,4807,4,16,0.19687150837988826,5.450113378684807,1
57,2459,2251,1465,0,21,0.9150406504065041,0.6505328596802842,1
38,2028,2135,3271,2,15,1.0522424839822573,1.5313670411985019,1
33,1457,2486,402,5,16,1.7050754458161865,0.16164053075995174,1
62,664,786,4709,2,5,1.1819548872180452,5.983481575603558,1
35,3494,1689,2670,1,6,0.4832618025751073,1.5798816568047338,0
64,1430,999,1801,0,16,0.6981132075471698,1.801,1
41,2854,1601,2650,3,16,0.5607705779334501,1.6541822721598003,1
43,1084,2754,176,0,10,2.5382488479262673,0.06388384754990925,1
42,4005,322,4544,3,12,0.08037943085371942,14.06811145510836,1
62,4056,1176,742,2,11,0.28986936159723936,0.6304163126593033,0
58,3335,1200,2348,0,16,0.3597122302158273,1.95503746877602,0
46,1124,1841,4402,0,10,1.6364444444444444,2.3897937024972857,1
32,4789,602,750,5,13,0.125678496868476,1.243781094527363,1
62,1746,1439,868,2,12,0.8236977676016027,0.6027777777777777,1
18,1294,2969,4062,0,20,2.2926640926640927,1.3676767676767676,1
42,2611,723,3967,3,6,0.27679938744257276,5.4792817679558015,1
24,2817,1986,213,0,6,0.7047551454932577,0.10719677906391545,1
26,962,2312,1617,3,14,2.4008307372793354,0.6990920881971465,1
41,2523,1150,2530,1,20,0.45562599049128366,2.198088618592528,0
18,4345,1193,3333,0,10,0.27450529222273357,2.791457286432161,0
61,2975,2085,1597,3,5,0.7006048387096774,0.7655800575263663,1
25,4859,1488,511,2,20,0.30617283950617286,0.3431833445265279,0
41,3355,1429,252,1,9,0.42580452920143025,0.17622377622377622,1
28,4170,1247,4133,0,3,0.29896907216494845,3.311698717948718,0
34,2240,118,628,5,15,0.052655064703257475,5.277310924369748,1
25,783,1380,3476,3,5,1.760204081632653,2.5170166545981174,1
52,4531,1145,986,5,5,0.25264783759929393,0.8603839441535777,1
52,2303,1088,1725,0,17,0.4722222222222222,1.584022038567493,0
50,2142,2597,2093,3,23,1.211852543163789,0.8056197074672825,1
22,4655,2699,1701,0,21,0.5796821305841925,0.63,0
59,309,1673,304,1,6,5.396774193548387,0.1816009557945042,1
56,391,1171,4078,1,15,2.9872448979591835,3.4795221843003414,1
58,1103,2842,2280,0,15,2.574275362318841,0.8019697502638058,1
45,1061,2734,4340,0,17,2.574387947269303,1.586837294332724,1
24,1283,2868,2807,4,21,2.2336448598130842,0.9783896828163123,1
26,849,1306,2886,0,18,1.536470588235294,2.2081101759755164,1
25,4334,1558,3454,0,9,0.35940023068050747,2.215522771007056,0
29,3811,2254,1024,5,5,0.5912906610703043,0.4541019955654102,1
51,836,1311,4312,5,22,1.5663082437275986,3.2865853658536586,1
50,1236,875,2975,1,4,0.7073565076798707,3.396118721461187,1
40,4331,1959,506,5,20,0.45221606648199447,0.25816326530612244,1
41,2348,1966,4856,0,13,0.8369518944231588,2.4687341128622267,1
54,4065,1260,2951,2,3,0.3098868666994589,2.3402061855670104,0
52,3357,1981,1053,0,18,0.5899344848123883,0.5312815338042381,0
61,3787,2483,2674,4,19,0.6554910242872228,1.076489533011272,1
57,3494,2754,2567,3,18,0.7879828326180257,0.9317604355716879,1
39,4461,2985,1904,1,12,0.6689825190497535,0.6376423308774279,1
44,2630,1880,4370,5,19,0.7145572025845686,2.323232323232323,1
52,2079,701,4587,2,5,0.3370192307692308,6.534188034188034,0
18,4166,1694,4922,3,20,0.40652747780177584,2.903834808259587,1
52,3913,2550,2894,2,21,0.6515074092999489,1.1344570756566053,1
54,4326,639,1100,1,16,0.14767737462445113,1.71875,0
64,4306,1195,3661,5,23,0.2774553053169259,3.061036789297659,1
31,2211,1905,1636,4,4,0.8612115732368897,0.8583420776495279,1
20,3573,123,1455,1,14,0.03441522104085059,11.733870967741936,0
18,2343,723,3613,2,13,0.3084470989761092,4.990331491712707,0
22,2700,1935,38,2,19,0.716401332839689,0.01962809917355372,1
43,4781,1179,3084,1,8,0.2465495608531995,2.613559322033898,0
31,1489,1085,4239,0,21,0.7281879194630873,3.903314917127072,1
56,1647,322,2731,1,15,0.1953883495145631,8.455108359133128,0
44,3399,278,2415,5,9,0.08176470588235295,8.655913978494624,1
26,2143,2947,758,5,13,1.3745335820895523,0.257123473541384,1
32,3383,2581,4342,4,9,0.7627068557919622,1.6816421378776143,1
32,3416,2060,3116,1,15,0.6028680128767925,1.5118874332848131,1
43,3336,1573,764,3,15,0.4713814803715913,0.48538754764930114,1
59,3518,892,2422,5,23,0.2534811025859619,2.712206047032475,1
30,2982,983,1314,5,3,0.32953402614817295,1.3353658536585367,1
49,1190,2639,4302,5,21,2.2157850545759867,1.6295454545454546,1
56,2353,1312,3995,0,21,0.5573491928632116,3.0426504188880426,0
49,425,1701,4029,3,17,3.992957746478873,2.367215041128085,1
21,976,909,3693,1,16,0.9303991811668373,4.058241758241758,1
47,3037,1060,3185,0,5,0.3489137590520079,3.001885014137606,0
54,887,519,2866,5,23,0.5844594594594594,5.5115384615384615,1
40,729,2796,1317,3,22,3.83013698630137,0.4708616374687165,1
56,3642,1287,700,3,6,0.3532802635190777,0.5434782608695652,1
62,2353,1378,4383,0,9,0.5853865760407817,3.1783901377810007,0
32,1494,2623,2201,5,3,1.754515050167224,0.838795731707317,1
